MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 1,ATTRIBUTE_VALUE 2,ATTRIBUTE_VALUE 3,ATTRIBUTE_VALUE 4,ATTRIBUTE_VALUE 5,ATTRIBUTE_VALUE 6,ATTRIBUTE_VALUE 7,ATTRIBUTE_VALUE 8,ATTRIBUTE_VALUE 9,ATTRIBUTE_VALUE 10,ATTRIBUTE_VALUE 11,ATTRIBUTE_VALUE 12,ATTRIBUTE_VALUE 13,ATTRIBUTE_VALUE 14,ATTRIBUTE_VALUE 15,ATTRIBUTE_VALUE 16,ATTRIBUTE_VALUE 17,ATTRIBUTE_VALUE 18,ATTRIBUTE_VALUE 19,ATTRIBUTE_VALUE 20,ATTRIBUTE_VALUE 21,ATTRIBUTE_VALUE 22,ATTRIBUTE_VALUE 23,ATTRIBUTE_VALUE 24,ATTRIBUTE_VALUE 25,ATTRIBUTE_VALUE 26,ATTRIBUTE_VALUE 27,ATTRIBUTE_VALUE 28,ATTRIBUTE_VALUE 29,ATTRIBUTE_VALUE 30,ATTRIBUTE_VALUE 31,ATTRIBUTE_VALUE 32,ATTRIBUTE_VALUE 33,ATTRIBUTE_VALUE 34,ATTRIBUTE_VALUE 35,ATTRIBUTE_VALUE 36,ATTRIBUTE_VALUE 37,ATTRIBUTE_VALUE 38,ATTRIBUTE_VALUE 39,ATTRIBUTE_VALUE 40,ATTRIBUTE_VALUE 41,ATTRIBUTE_VALUE 42,ATTRIBUTE_VALUE 43,ATTRIBUTE_VALUE 44,ATTRIBUTE_VALUE 45,ATTRIBUTE_VALUE 46,ATTRIBUTE_VALUE 47,ATTRIBUTE_VALUE 48,ATTRIBUTE_VALUE 49,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 1,ATTRIBUTE_UOM 2,ATTRIBUTE_UOM 3,ATTRIBUTE_UOM 4,ATTRIBUTE_UOM 5,ATTRIBUTE_UOM 6,ATTRIBUTE_UOM 7,ATTRIBUTE_UOM 8,ATTRIBUTE_UOM 9,ATTRIBUTE_UOM 10,ATTRIBUTE_UOM 11,ATTRIBUTE_UOM 12,ATTRIBUTE_UOM 13,ATTRIBUTE_UOM 14,ATTRIBUTE_UOM 15,ATTRIBUTE_UOM 16,ATTRIBUTE_UOM 17,ATTRIBUTE_UOM 18,ATTRIBUTE_UOM 19,ATTRIBUTE_UOM 20,ATTRIBUTE_UOM 21,ATTRIBUTE_UOM 22,ATTRIBUTE_UOM 23,ATTRIBUTE_UOM 24,ATTRIBUTE_UOM 25,ATTRIBUTE_UOM 26,ATTRIBUTE_UOM 27,ATTRIBUTE_UOM 28,ATTRIBUTE_UOM 29,ATTRIBUTE_UOM 30,ATTRIBUTE_UOM 31,ATTRIBUTE_UOM 32,ATTRIBUTE_UOM 33,ATTRIBUTE_UOM 34,ATTRIBUTE_UOM 35,ATTRIBUTE_UOM 36,ATTRIBUTE_UOM 37,ATTRIBUTE_UOM 38,ATTRIBUTE_UOM 39,ATTRIBUTE_UOM 40,ATTRIBUTE_UOM 41,ATTRIBUTE_UOM 42,ATTRIBUTE_UOM 43,ATTRIBUTE_UOM 44,ATTRIBUTE_UOM 45,ATTRIBUTE_UOM 46,ATTRIBUTE_UOM 47,ATTRIBUTE_UOM 48,ATTRIBUTE_UOM 49,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,,Abrasives,Belts,Sanding Belts,,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo,Freud Inc,DCB518ASTS06G,,Abrasives > Belts > Sanding Belts,"Diablo, Sanding Belt, DCB518ASTS06G",SANDING BELT 1/2IN 18 IN,DIABLO DCB518ASTS06G Sanding Belt,"DIABLO, Sanding Belt, 1/2 in Width, 18 in",Sanding Belt,"Discover the Diablo Sanding Belt, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this Sanding Belt is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,,Sanding Belt,width,length,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 in,18 in,Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,18 in,,,,1/2 in,,,,,,Diablo_DCB518ASTS06G.jpg,,,,,,,,,Diablo_DCB518ASTS06G_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,Abrasives,Discs,Film Discs,,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,Jam Industrial Supply LLC,3MABR-7100075678,,Abrasives > Discs > Film Discs,"3M, Film Disc, 3MABR-7100075678",FILM DISC 3 IN,3M 3MABR-7100075678 Film Disc,"3M, Film Disc, 3 in",Film Disc,"Discover the 3M Film Disc, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this Film Disc is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,Film Disc,,Film Disc,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,3M_3MABR-7100075678.jpg,,,,,,,,,3M_3MABR-7100075678_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,Abrasives,Discs,Film Discs,,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,Jam Industrial Supply LLC,3MABR-7100045865,,Abrasives > Discs > Film Discs,"3M, Film Disc, 3MABR-7100045865",FILM DISC 3 IN,3M 3MABR-7100045865 Film Disc,"3M, Film Disc, 3 in",Film Disc,"Discover the 3M Film Disc, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this Film Disc is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,Film Disc,,Film Disc,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,3M_3MABR-7100045865.jpg,,,,,,,,,3M_3MABR-7100045865_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,Abrasives,Discs,Film Discs,,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,Jam Industrial Supply LLC,3MABR-7100048736,,Abrasives > Discs > Film Discs,"3M, Film Disc, 3MABR-7100048736",FILM DISC 3 IN,3M 3MABR-7100048736 Film Disc,"3M, Film Disc, 3 in",Film Disc,"Discover the 3M Film Disc, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this Film Disc is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,Film Disc,,Film Disc,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,3M_3MABR-7100048736.jpg,,,,,,,,,3M_3MABR-7100048736_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,Abrasives,Discs,Film Discs,,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,Jam Industrial Supply LLC,3MABR-7100075690,,Abrasives > Discs > Film Discs,"3M, Film Disc, 3MABR-7100075690",FILM DISC 3 IN,3M 3MABR-7100075690 Film Disc,"3M, Film Disc, 3 in",Film Disc,"Discover the 3M Film Disc, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this Film Disc is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,Film Disc,,Film Disc,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,3M_3MABR-7100075690.jpg,,,,,,,,,3M_3MABR-7100075690_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,Abrasives,Discs,Film Discs,,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,Jam Industrial Supply LLC,3MABR-7100075692,,Abrasives > Discs > Film Discs,"3M, Film Disc, 3MABR-7100075692",FILM DISC 3 IN,3M 3MABR-7100075692 Film Disc,"3M, Film Disc, 3 in",Film Disc,"Discover the 3M Film Disc, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this Film Disc is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,Film Disc,,Film Disc,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,3M_3MABR-7100075692.jpg,,,,,,,,,3M_3MABR-7100075692_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,Abrasives,Discs,Film Discs,,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,Jam Industrial Supply LLC,3MABR-7100145365,,Abrasives > Discs > Film Discs,"3M, Film Disc, 3MABR-7100145365",FILM DISC 3 IN,3M 3MABR-7100145365 Film Disc,"3M, Film Disc, 3 in",Film Disc,"Discover the 3M Film Disc, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this Film Disc is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,Film Disc,,Film Disc,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in,,,,,,,,,,3M_3MABR-7100145365.jpg,,,,,,,,,3M_3MABR-7100145365_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,General,,,,5B-332-080,"5B-332-080 HIOLIT 5"" P80",,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka,Mirka,5B-332-080,,General,"Mirka, 5B-332-080",,MIRKA 5B-332-080,MIRKA,,"Discover the Mirka product, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this product is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka_5B-332-080.jpg,,,,,,,,,Mirka_5B-332-080_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,General,,,,5B-332-120,"5B-332-120 HIOLIT 5"" P120",,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka,Mirka,5B-332-120,,General,"Mirka, 5B-332-120",,MIRKA 5B-332-120,MIRKA,,"Discover the Mirka product, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this product is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka_5B-332-120.jpg,,,,,,,,,Mirka_5B-332-120_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,General,,,,9A-570-240,9A-570-240 Abranet 2.75x30,,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka,Mirka,9A-570-240,,General,"Mirka, 9A-570-240",11/4IN 30 IN,MIRKA 9A-570-240,"MIRKA, 11/4 in Width, 30 in",,"Discover the Mirka product, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this product is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,,,,width,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/4 in,30 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 in,,,,11/4 in,,,,,,Mirka_9A-570-240.jpg,,,,,,,,,Mirka_9A-570-240_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,General,,,,9A-570-320,9A-570-320 Abranet 2.75x30,,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka,Mirka,9A-570-320,,General,"Mirka, 9A-570-320",11/4IN 30 IN,MIRKA 9A-570-320,"MIRKA, 11/4 in Width, 30 in",,"Discover the Mirka product, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this product is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,,,,width,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/4 in,30 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 in,,,,11/4 in,,,,,,Mirka_9A-570-320.jpg,,,,,,,,,Mirka_9A-570-320_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,Abrasives,Discs,Cut Off Discs,,DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo,Freud Inc,DBD090094101F,,Abrasives > Discs > Cut Off Discs,"Diablo, Cut Off Disc, DBD090094101F",CUT OFF DISC,DIABLO DBD090094101F Cut Off Disc,"DIABLO, Cut Off Disc",Cut Off Disc,"Discover the Diablo Cut Off Disc, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this Cut Off Disc is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,Cut Off Disc,,Cut Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diablo_DBD090094101F.jpg,,,,,,,,,Diablo_DBD090094101F_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,,Abrasives,Discs,Cut Off Discs,,DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo,Freud Inc,DBDS12125A01F,,Abrasives > Discs > Cut Off Discs,"Diablo, Cut Off Disc, DBDS12125A01F",CUT OFF DISC,DIABLO DBDS12125A01F Cut Off Disc,"DIABLO, Cut Off Disc",Cut Off Disc,"Discover the Diablo Cut Off Disc, engineered for outstanding performance and lasting durability. With a focus on quality and efficiency, this Cut Off Disc is the perfect addition to any modern home.",,,,,,,,,,,,,,,,,,,,,,,,Cut Off Disc,,Cut Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diablo_DBDS12125A01F.jpg,,,,,,,,,Diablo_DBDS12125A01F_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,Yes
